ReaderWell,Type,SampleWell,TubeBarcode,Full.Mass,Full.Weight.Date,Full.Weight.Time,BarcodeID,Empty.Mass,Empty.Weight.Date,Empty.Weight.Time,SampleMass,Experiment,Date,Cage,Animal,Timepoint,Sex,Condition,Sample,Replicate
A01,Experiment,A01,231322517,974.9,9/7/17,10:34:58,SW_Abs|00000008a|083017|ZEOvr,936.2,8/15/17,17:06:56,38.7,SW_Abs1,30-Aug,8,8a,2,Female,1001262B+AVNC,FP,NA
A02,Experiment,A02,231322445,998.3,9/7/17,10:35:06,SW_Abs|00000001a|090117|kmSFB,937.1,8/15/17,17:07:12,61.2,SW_Abs1,31-Aug,1,1a,3,Male,AS4413,FP,NA
A03,Experiment,A03,231322462,968.1,9/7/17,10:35:10,SW_Abs|00000001b|090117|vPhZA,936.1,8/15/17,17:07:21,32,SW_Abs1,31-Aug,1,1b,3,Male,AS4413,FP,NA
A04,Experiment,A04,231322484,1023.5,9/7/17,10:35:17,SW_Abs|00000002a|090117|VGBO5,934.7,8/15/17,17:07:26,88.8,SW_Abs1,31-Aug,2,2a,3,Male,NB71813,FP,NA
A05,Experiment,A05,231322512,960.3,9/7/17,10:35:21,SW_Abs|00000002b|090117|o0k9G,933.7,8/15/17,17:07:33,26.6,SW_Abs1,31-Aug,2,2b,3,Male,NB71813,FP,NA
A06,Experiment,A06,231322487,1032,9/7/17,10:35:25,SW_Abs|00000003a|090117|72BP4,934.1,8/15/17,17:07:39,97.9,SW_Abs1,31-Aug,3,3a,3,Male,GZ35-1,FP,NA
A07,Experiment,A07,231322535,1024.4,9/7/17,10:35:28,SW_Abs|00000003b|090117|3FTmt,943.2,8/15/17,17:07:44,81.2,SW_Abs1,31-Aug,3,3b,3,Male,GZ35-1,FP,NA
A08,Experiment,A08,231322508,986.2,9/7/17,10:35:32,SW_Abs|00000004a|090117|hNGut,933.6,8/15/17,17:07:50,52.6,SW_Abs1,31-Aug,4,4a,3,Female,1001095A+1001099B,FP,NA
A09,Experiment,A09,231322488,975.6,9/7/17,10:35:36,SW_Abs|00000004b|090117|LhoYM,935,8/15/17,17:07:56,40.6,SW_Abs1,31-Aug,4,4b,3,Female,1001095A+1001099B,FP,NA
A10,Experiment,A10,231322467,987.9,9/7/17,10:35:42,SW_Abs|00000005a|090117|xLH85,934.3,8/15/17,17:08:03,53.6,SW_Abs1,31-Aug,5,5a,3,Male,1001095A+1001099B,FP,NA
A11,Experiment,A11,231322491,1037.9,9/7/17,10:35:46,SW_Abs|00000005b|090117|ETVjZ,935.3,8/15/17,17:08:09,102.6,SW_Abs1,31-Aug,5,5b,3,Male,1001095A+1001099B,FP,NA
A12,Experiment,A12,231322519,1026.6,9/7/17,10:35:50,SW_Abs|00000005c|090117|WRTSc,942.1,8/15/17,17:08:14,84.5,SW_Abs1,31-Aug,5,5c,3,Male,1001095A+1001099B,FP,NA
B01,Experiment,B01,231322509,968.2,9/7/17,10:35:59,SW_Abs|00000006a|090117|a5iyE,934.7,8/15/17,17:08:23,33.5,SW_Abs1,31-Aug,6,6a,3,Male,1001254A+1001262B,FP,NA
B02,Experiment,B02,231322486,1013.6,9/7/17,10:36:07,SW_Abs|00000006b|090117|8NDro,939.8,8/15/17,17:08:32,73.8,SW_Abs1,31-Aug,6,6b,3,Male,1001254A+1001262B,FP,NA
B03,Experiment,B03,231322494,985.8,9/7/17,10:36:14,SW_Abs|00000007a|090117|yrJ0D,934.6,8/15/17,17:08:38,51.2,SW_Abs1,31-Aug,7,7a,3,Male,1001099B+AVNC,FP,NA
