TubeCode,LocationRow,LocationColumn,RackID
0231322517,A,1,SW_Abs2
0231322445,A,2,SW_Abs2
0231322462,A,3,SW_Abs2
0231322484,A,4,SW_Abs2
0231322512,A,5,SW_Abs2
0231322487,A,6,SW_Abs2
0231322535,A,7,SW_Abs2
0231322508,A,8,SW_Abs2
0231322488,A,9,SW_Abs2
0231322467,A,10,SW_Abs2
0231322491,A,11,SW_Abs2
0231322519,A,12,SW_Abs2
0231322509,B,1,SW_Abs2
0231322486,B,2,SW_Abs2
0231322494,B,3,SW_Abs2
0231322465,B,4,SW_Abs2
0231322471,B,5,SW_Abs2
0231322460,B,6,SW_Abs2
0231322432,B,7,SW_Abs2
0231322384,B,8,SW_Abs2
0231322410,B,9,SW_Abs2
0231322430,B,10,SW_Abs2
0231322429,B,11,SW_Abs2
0231322354,B,12,SW_Abs2
0231322493,C,1,SW_Abs2
0231322443,C,2,SW_Abs2
0231322464,C,3,SW_Abs2
0231322447,C,4,SW_Abs2
0231322510,C,5,SW_Abs2
0231322463,C,6,SW_Abs2
0231322461,C,7,SW_Abs2
0231322468,C,8,SW_Abs2
0231322513,C,9,SW_Abs2
0231322470,C,10,SW_Abs2
0231322515,C,11,SW_Abs2
0231322408,C,12,SW_Abs2
0231322401,D,1,SW_Abs2
0231322385,D,2,SW_Abs2
0231322406,D,3,SW_Abs2
0231322427,D,4,SW_Abs2
0231322409,D,5,SW_Abs2
0231323126,D,6,SW_Abs2
0231323169,D,7,SW_Abs2
0231323155,D,8,SW_Abs2
0231323125,D,9,SW_Abs2
0231323151,D,10,SW_Abs2
0231323123,D,11,SW_Abs2
0231322379,D,12,SW_Abs2
0231322376,E,1,SW_Abs2
0231322382,E,2,SW_Abs2
0231322425,E,3,SW_Abs2
0231322360,E,4,SW_Abs2
0231322352,E,5,SW_Abs2
0231322435,E,6,SW_Abs2
0231322407,E,7,SW_Abs2
0231322386,E,8,SW_Abs2
0231322387,E,9,SW_Abs2
0231322356,E,10,SW_Abs2
0231322411,E,11,SW_Abs2
0231322358,E,12,SW_Abs2
0231322404,F,1,SW_Abs2
0231322359,F,2,SW_Abs2
0231322400,F,3,SW_Abs2
0231322378,F,4,SW_Abs2
0231323146,F,5,SW_Abs2
0231323153,F,6,SW_Abs2
0231323176,F,7,SW_Abs2
0231323192,F,8,SW_Abs2
0231323145,F,9,SW_Abs2
0231323148,F,10,SW_Abs2
No Tube,F,11,SW_Abs2
No Tube,F,12,SW_Abs2
0231323120,G,1,SW_Abs2
0231323174,G,2,SW_Abs2
0231323193,G,3,SW_Abs2
0231323198,G,4,SW_Abs2
0231323202,G,5,SW_Abs2
0231323201,G,6,SW_Abs2
0231323194,G,7,SW_Abs2
0231323149,G,8,SW_Abs2
0231323203,G,9,SW_Abs2
0231323129,G,10,SW_Abs2
0231323121,G,11,SW_Abs2
0231323127,G,12,SW_Abs2
0231323196,H,1,SW_Abs2
0231323168,H,2,SW_Abs2
0231323124,H,3,SW_Abs2
0231323150,H,4,SW_Abs2
0231323178,H,5,SW_Abs2
0231323173,H,6,SW_Abs2
0231323171,H,7,SW_Abs2
0231323172,H,8,SW_Abs2
0231323177,H,9,SW_Abs2
0231323197,H,10,SW_Abs2
0231323170,H,11,SW_Abs2
0231323152,H,12,SW_Abs2
