SampleWell,BarcodePlate,BarcodeWell,Sample_DNA_concentration,BarcodeID
A01,Plate2,A01,16.30898608,RevFMT.00000006a.102517.5f4G9
A02,Plate2,A02,62.4424166,RevFMT.00000002a.111517.OifOl
A03,Plate2,A03,83.9621612,RevFMT.00000003b.110817.jGXOx
A04,Plate2,A04,14.87364983,RevFMT.00000003a.110817.WK3ny
A05,Plate2,A05,56.60686764,RevFMT.00000001b.102517.CcIw5
A06,Plate2,A06,46.82732184,RevFMT.00000007b.110117.QApUM
A07,Plate2,A07,59.38339176,RevFMT.00000001c.102517.1TrpL
A08,Plate2,A08,50.06193211,RevFMT.00000003c.110817.YFXr7
A09,Plate2,A09,15.01150698,RevFMT.00000004a.110117.pnoLO
A10,Plate2,A10,48.47763921,RevFMT.00000001c.110117.2n2lW
A11,Plate2,A11,71.35850018,RevFMT.00000008b.110117.xh0Uq
A12,Plate2,A12,40.35140103,RevFMT.00000004a.111517.oBs2J
B01,Plate2,B01,55.0985482,RevFMT.00000004b.111517.0SLAN
B02,Plate2,B02,103.5586059,RevFMT.00000007b.110817.V25mw
B03,Plate2,B03,117.6375158,RevFMT.00000008a.110817.MLzxm
B04,Plate2,B04,94.35844032,RevFMT.00000008b.110817.WAsJP
B05,Plate2,B05,65.53652407,RevFMT.00000003c.111517.XwLDK
B06,Plate2,B06,40.29181837,RevFMT.00000004b.110117.4HjOL
B07,Plate2,B07,41.12988849,RevFMT.00000002a.110117.fRFUO
B08,Plate2,B08,72.10190502,RevFMT.00000004b.110817.SFDVR
B09,Plate2,B09,49.00764419,RevFMT.00000003a.110117.RyEKs
B10,Plate2,B10,79.2959247,RevFMT.00000007c.110117.t9RN6
B11,Plate2,B11,17.89028872,RevFMT.00000006c.110117.HX83E
B12,Plate2,B12,91.99433715,RevFMT.00000001a.112917.QXFHm
C01,Plate2,C01,13.14638078,RevFMT.00000004a.110817.h9Hrk
C02,Plate2,C02,133.2313592,RevFMT.00000007b.102517.Q3vRG
C03,Plate2,C03,67.66704043,RevFMT.00000007c.102517.Olply
C04,Plate2,C04,62.67493904,RevFMT.00000005c.102517.WtaBp
C05,Plate2,C05,43.19113167,RevFMT.00000001b.110117.UVN4a
C06,Plate2,C06,44.75515146,RevFMT.00000003b.110117.Q4KjQ
C07,Plate2,C07,93.70124693,RevFMT.00000001b.110817.pgNG6
C08,Plate2,C08,67.26396541,RevFMT.00000005c.110117.PGei7
C09,Plate2,C09,63.28850981,RevFMT.00000005b.112217.nyzpB
C10,Plate2,C10,46.37303186,RevFMT.00000001a.110117.5CUpq
C11,Plate2,C11,102.1909921,RevFMT.00000001a.111517.eU05X
C12,Plate2,C12,67.07779739,RevFMT.00000005a.102517.VCPgX
D01,Plate2,D01,58.92142328,RevFMT.00000006a.111517.7OHLx
D02,Plate2,D02,96.76467099,RevFMT.00000005a.110817.RJnI4
D03,Plate2,D03,117.1831396,RevFMT.00000008a.102517.Sf8dw
D04,Plate2,D04,70.57736708,RevFMT.00000005b.102517.yjc6z
D05,Plate2,D05,35.91363235,RevFMT.00000003c.110117.3s4PN
D06,Plate2,D06,44.15523968,RevFMT.00000005b.110117.tAY9r
D07,Plate2,D07,68.63874078,RevFMT.00000001a.102517.faG3G
D08,Plate2,D08,48.16172328,RevFMT.00000001a.110817.xTl5a
D09,Plate2,D09,39.39715584,RevFMT.00000004a.102517.leWr6
D10,Plate2,D10,44.59023477,RevFMT.00000005c.111517.zpTRz
D11,Plate2,D11,79.57701645,RevFMT.00000007c.110817.IgoXL
D12,Plate2,D12,74.31227715,pTxFMT.00000001a.111017.a56z4
E01,Plate2,E01,82.68610574,pTxFMT.00000001b.111017.QWi3R
E02,Plate2,E02,69.52563866,pTxFMT.00000001c.111017.JhU8I
E03,Plate2,E03,49.91093286,pTxFMT.00000002a.111017.aao7N
E04,Plate2,E04,79.10659413,pTxFMT.00000002c.111017.pVNLb
E05,Plate2,E05,62.56422757,pTxFMT.00000003a.111017.uFI6l
E06,Plate2,E06,46.29484351,pTxFMT.00000003b.111017.R86bg
E07,Plate2,E07,82.78333052,pTxFMT.00000003c.111017.XQjWd
E08,Plate2,E08,39.25392124,pTxFMT.00000004b.111017.CmEqH
E09,Plate2,E09,57.01416959,pTxFMT.00000004d.111017.Hq9XC
E10,Plate2,E10,18.02003663,pTxFMT.00000005a.111017.jno1H
E11,Plate2,E11,56.01101049,pTxFMT.00000005b.111017.rtWYb
E12,Plate2,E12,50.66765209,pTxFMT.00000005c.111017.MmmvJ
F01,Plate2,F01,3.415287569,pTxFMT.00000006a.111017.eOyJ1
F02,Plate2,F02,51.88412489,pTxFMT.00000006b.111017.a4iSi
F03,Plate2,F03,18.12545681,pTxFMT.00000006c.111017.XL7To
F04,Plate2,F04,62.77506792,pTxFMT.00000001a.111717.V4fgT
F05,Plate2,F05,71.23933487,pTxFMT.00000001b.111717.oaAUl
F06,Plate2,F06,87.36134355,pTxFMT.00000001c.111717.hw3YG
F07,Plate2,F07,57.34506733,pTxFMT.00000002a.111717.AeNxO
F08,Plate2,F08,64.21437264,pTxFMT.00000002b.111717.gLyD9
F09,Plate2,F09,87.5387687,pTxFMT.00000002c.111717.T9lyh
F10,Plate2,F10,57.72910591,pTxFMT.00000003a.111717.ucK4D
F11,Plate2,F11,72.46268024,pTxFMT.00000003b.111717.LyWpx
F12,Plate2,F12,77.3574707,pTxFMT.00000003c.111717.amboR
G01,Plate2,G01,19.56079306,pTxFMT.00000004a.111717.pGXwN
G02,Plate2,G02,40.36215592,pTxFMT.00000004b.111717.CV48N
G03,Plate2,G03,93.19220426,pTxFMT.00000004c.111717.Edbgz
G04,Plate2,G04,14.80066663,pTxFMT.00000004d.111717.uTmNc
G05,Plate2,G05,42.47909945,pTxFMT.00000005a.111717.EdKia
G06,Plate2,G06,54.3066602,pTxFMT.00000005b.111717.xUVye
G07,Plate2,G07,18.98503671,pTxFMT.00000005c.111717.Sdrh3
G08,Plate2,G08,56.46645099,pTxFMT.00000006a.111717.TFEVf
G09,Plate2,G09,50.93560175,pTxFMT.00000006b.111717.0QV1Y
G10,Plate2,G10,12.92743118,pTxFMT.00000006c.111717.L7gbm
G11,Plate2,G11,76.19379414,pTxFMT.00000001a.112217.jfP79
G12,Plate2,G12,51.66948836,pTxFMT.00000001b.112217.thuSd
H01,Plate2,H01,83.31209882,pTxFMT.00000001c.112217.SDz2U
